"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98072,"$25,000 under $50,000",1760,1310,270,150,2410,480,0,490,340,60
98072,"$50,000 under $75,000",1480,930,380,130,2280,450,0,300,300,70
98072,"$75,000 under $100,000",1120,530,480,90,2000,410,30,200,300,80
98072,"$100,000 under $200,000",2790,730,1890,130,6400,950,0,490,620,330
98072,"$200,000 or more",3230,310,2830,70,9510,630,0,350,300,680
,,,,,,,,,,,
98074,,12890,4270,8010,490,30670,2470,0,1700,1320,1230
98074,"$1 under $25,000",2060,1820,180,50,1500,350,0,290,90,40
98074,"$25,000 under $50,000",1040,770,180,70,1420,230,0,250,150,50
98074,"$50,000 under $75,000",920,590,240,80,1410,270,0,160,200,60
98074,"$75,000 under $100,000",690,310,310,60,1290,260,0,120,180,70
98074,"$100,000 under $200,000",2420,510,1750,120,6080,770,0,390,460,240
98074,"$200,000 or more",5760,270,5350,110,18970,590,0,490,240,770
,,,,,,,,,,,
98075,,10850,3650,6670,400,25790,2040,0,1330,1080,1230
98075,"$1 under $25,000",1920,1710,150,40,1330,250,0,230,50,40
98075,"$25,000 under $50,000",850,630,150,60,1140,180,0,200,130,40
98075,"$50,000 under $75,000",700,450,180,50,1090,190,0,120,130,60
98075,"$75,000 under $100,000",560,280,220,50,1020,190,0,70,150,40
